VALUE,CLASS_NAME,RED,GREEN,BLUE,OPACITY
150,,0.0000,0.0000,0.0000,1.0000
151,,0.0000,0.0000,0.0000,1.0000
152,Shrubland,0.7765,0.8392,0.6196,1.0000
153,,0.0000,0.0000,0.0000,1.0000
175,,0.0000,0.0000,0.0000,1.0000
176,Grass/Pasture,0.9098,1.0000,0.7490,1.0000
177,,0.0000,0.0000,0.0000,1.0000
189,,0.0000,0.0000,0.0000,1.0000
190,Woody Wetlands,0.4980,0.6980,0.6980,1.0000
191,,0.0000,0.0000,0.0000,1.0000
192,,0.0000,0.0000,0.0000,1.0000
193,,0.0000,0.0000,0.0000,1.0000
194,,0.0000,0.0000,0.0000,1.0000
195,Herbaceous Wetlands,0.4980,0.6980,0.6980,1.0000
196,,0.0000,0.0000,0.0000,1.0000
204,Pistachios,0.0000,1.0000,0.5490,1.0000
205,Triticale,0.8392,0.6196,0.7373,1.0000
206,Carrots,1.0000,0.4000,0.4000,1.0000
207,Asparagus,1.0000,0.4000,0.4000,1.0000
208,Garlic,1.0000,0.4000,0.4000,1.0000
209,Cantaloupes,1.0000,0.4000,0.4000,1.0000
210,Prunes,1.0000,0.5569,0.6667,1.0000
211,Olives,0.2000,0.2863,0.2000,1.0000
212,Oranges,0.8980,0.4392,0.1490,1.0000
213,Honeydew Melons,1.0000,0.4000,0.4000,1.0000
214,Broccoli,1.0000,0.4000,0.4000,1.0000
215,,0.0000,0.0000,0.0000,1.0000
216,Peppers,1.0000,0.4000,0.4000,1.0000
217,Pomegranates,0.6980,0.6078,0.4392,1.0000
218,Nectarines,1.0000,0.5569,0.6667,1.0000
219,Greens,1.0000,0.4000,0.4000,1.0000
220,Plums,1.0000,0.5569,0.6667,1.0000
221,Strawberries,1.0000,0.4000,0.4000,1.0000
222,Squash,1.0000,0.4000,0.4000,1.0000
223,Apricots,1.0000,0.5569,0.6667,1.0000
224,Vetch,0.0000,0.6863,0.2980,1.0000
225,Dbl Crop WinWht/Corn,1.0000,0.8275,0.0000,1.0000
226,Dbl Crop Oats/Corn,1.0000,0.8275,0.0000,1.0000
227,Lettuce,1.0000,0.4000,0.4000,1.0000
228,,0.0000,0.0000,0.0000,1.0000
229,Pumpkins,1.0000,0.4000,0.4000,1.0000
230,Dbl Crop Lettuce/Durum Wht,0.5373,0.3882,0.3294,1.0000
231,Dbl Crop Lettuce/Cantaloupe,1.0000,0.4000,0.4000,1.0000
232,Dbl Crop Lettuce/Cotton,1.0000,0.1490,0.1490,1.0000
233,Dbl Crop Lettuce/Barley,0.8863,0.0000,0.4863,1.0000
234,Dbl Crop Durum Wht/Sorghum,1.0000,0.6196,0.0471,1.0000
235,Dbl Crop Barley/Sorghum,1.0000,0.6196,0.0471,1.0000
236,Dbl Crop WinWht/Sorghum,0.6471,0.4392,0.0000,1.0000
237,Dbl Crop Barley/Corn,1.0000,0.8275,0.0000,1.0000
238,Dbl Crop WinWht/Cotton,0.6471,0.4392,0.0000,1.0000
239,Dbl Crop Soybeans/Cotton,0.1490,0.4392,0.0000,1.0000
240,Dbl Crop Soybeans/Oats,0.1490,0.4392,0.0000,1.0000
241,Dbl Crop Corn/Soybeans,1.0000,0.8275,0.0000,1.0000
242,Blueberries,0.0000,0.0000,0.6000,1.0000
243,Cabbage,1.0000,0.4000,0.4000,1.0000
244,Cauliflower,1.0000,0.4000,0.4000,1.0000
245,Celery,1.0000,0.4000,0.4000,1.0000
246,Radishes,1.0000,0.4000,0.4000,1.0000
247,Turnips,1.0000,0.4000,0.4000,1.0000
248,Eggplants,1.0000,0.4000,0.4000,1.0000
249,Gourds,1.0000,0.4000,0.4000,1.0000
250,Cranberries,1.0000,0.4000,0.4000,1.0000
251,,1.0000,0.8275,0.0000,1.0000
252,,0.1490,0.4392,0.0000,1.0000
253,,0.6471,0.4392,0.0000,1.0000
254,Dbl Crop Barley/Soybeans,0.1490,0.4392,0.0000,1.0000
